timestamp,netAmount0,netAmount1,closeTick,openTick,lowestTick,highestTick,inAmount0,inAmount1,currentLiquidity
2025-06-02 04:38:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:39:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:40:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:41:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:42:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:43:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:44:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:45:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:46:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:47:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:48:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:49:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:50:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:51:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:52:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:53:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:54:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:55:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:56:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:57:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:58:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 04:59:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:00:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:01:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:02:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:03:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:04:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:05:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:06:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:07:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:08:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:09:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:10:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:11:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:12:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:13:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:14:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:15:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:16:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:17:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:18:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:19:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:20:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:21:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:22:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:23:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:24:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:25:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:26:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:27:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:28:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:29:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:30:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:31:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:32:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:33:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:34:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:35:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:36:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:37:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:38:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:39:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:40:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:41:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:42:00,0,0,87789.0,87789.0,87789.0,87789.0,0,0,144669167624733037793499
2025-06-02 05:43:00,-504916736211551202,3312601142578307153081,87795.0,87795.0,87795.0,87795.0,0,3312601142578307153081,144676770055053393742128
2025-06-02 05:44:00,0,0,87795.0,87795.0,87795.0,87795.0,0,0,144676770055053393742128
2025-06-02 05:45:00,-287494781455415346,1886996371811909852605,87798.0,87798.0,87798.0,87798.0,0,1886996371811909852605,144676770055053393742128
2025-06-02 05:46:00,0,0,87798.0,87798.0,87798.0,87798.0,0,0,144676770055053393742128
2025-06-02 05:47:00,0,0,87798.0,87798.0,87798.0,87798.0,0,0,144676770055053393742128
2025-06-02 05:48:00,0,0,87798.0,87798.0,87798.0,87798.0,0,0,144676770055053393742128
2025-06-02 05:49:00,0,0,87798.0,87798.0,87798.0,87798.0,0,0,144676770055053393742128
2025-06-02 05:50:00,0,0,87798.0,87798.0,87798.0,87798.0,0,0,144676770055053393742128
2025-06-02 05:51:00,0,0,87798.0,87798.0,87798.0,87798.0,0,0,144676770055053393742128
2025-06-02 05:52:00,0,0,87798.0,87798.0,87798.0,87798.0,0,0,144676770055053393742128
2025-06-02 05:53:00,0,0,87798.0,87798.0,87798.0,87798.0,0,0,144676770055053393742128
2025-06-02 05:54:00,0,0,87798.0,87798.0,87798.0,87798.0,0,0,144676770055053393742128
2025-06-02 05:55:00,0,0,87798.0,87798.0,87798.0,87798.0,0,0,144676770055053393742128
2025-06-02 05:56:00,0,0,87798.0,87798.0,87798.0,87798.0,0,0,144676770055053393742128
2025-06-02 05:57:00,0,0,87798.0,87798.0,87798.0,87798.0,0,0,144676770055053393742128
2025-06-02 05:58:00,0,0,87798.0,87798.0,87798.0,87798.0,0,0,144676770055053393742128
2025-06-02 05:59:00,0,0,87798.0,87798.0,87798.0,87798.0,0,0,144676770055053393742128
2025-06-02 06:00:00,0,0,87798.0,87798.0,87798.0,87798.0,0,0,144676770055053393742128
2025-06-02 06:01:00,0,0,87798.0,87798.0,87798.0,87798.0,0,0,144676770055053393742128
2025-06-02 06:02:00,0,0,87798.0,87798.0,87798.0,87798.0,0,0,144676770055053393742128
2025-06-02 06:03:00,0,0,87798.0,87798.0,87798.0,87798.0,0,0,144676770055053393742128
2025-06-02 06:04:00,0,0,87798.0,87798.0,87798.0,87798.0,0,0,144676770055053393742128
2025-06-02 06:05:00,-635431581499931958,4172854107145184594488,87805.0,87805.0,87805.0,87805.0,0,4172854107145184594488,144771217714762914656817
2025-06-02 06:06:00,0,0,87805.0,87805.0,87805.0,87805.0,0,0,144771217714762914656817
2025-06-02 06:07:00,-397672939376896926,2613005751795909506535,87809.0,87809.0,87809.0,87809.0,0,2613005751795909506535,144771217714762914656817
2025-06-02 06:08:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:09:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:10:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:11:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:12:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:13:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:14:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:15:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:16:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:17:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:18:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:19:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:20:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:21:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:22:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:23:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:24:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:25:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:26:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:27:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:28:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:29:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:30:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:31:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:32:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:33:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:34:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:35:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:36:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:37:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:38:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:39:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:40:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:41:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:42:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:43:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:44:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:45:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:46:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:47:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:48:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:49:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:50:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:51:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:52:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:53:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:54:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:55:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:56:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:57:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:58:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 06:59:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:00:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:01:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:02:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:03:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:04:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:05:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:06:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:07:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:08:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:09:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:10:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:11:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:12:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:13:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:14:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:15:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:16:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:17:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:18:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:19:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:20:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:21:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:22:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:23:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:24:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:25:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:26:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:27:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:28:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:29:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:30:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:31:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:32:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:33:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:34:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:35:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:36:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:37:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:38:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:39:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:40:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:41:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:42:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:43:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:44:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:45:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:46:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:47:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:48:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:49:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:50:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:51:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:52:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:53:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:54:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:55:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:56:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:57:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:58:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 07:59:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:00:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:01:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:02:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:03:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:04:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:05:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:06:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:07:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:08:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:09:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:10:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:11:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:12:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:13:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:14:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:15:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:16:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:17:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:18:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:19:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:20:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:21:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:22:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:23:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:24:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:25:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:26:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:27:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:28:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:29:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:30:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:31:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:32:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:33:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:34:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:35:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:36:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:37:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:38:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:39:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:40:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:41:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:42:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:43:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:44:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:45:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:46:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:47:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:48:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:49:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:50:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:51:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:52:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:53:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:54:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:55:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:56:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:57:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:58:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 08:59:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 09:00:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 09:01:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 09:02:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 09:03:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 09:04:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 09:05:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 09:06:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 09:07:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 09:08:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 09:09:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 09:10:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 09:11:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 09:12:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 09:13:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
2025-06-02 09:14:00,0,0,87809.0,87809.0,87809.0,87809.0,0,0,144771217714762914656817
